,Unnamed: 0,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine_CC,Power_bhp,Number_of_Seats,Price_Lakhs,Current_Age
4760,4902,Maruti Baleno Alpha CVT,Mumbai,2018,3000,1,1,0,21.4,1.197,83.1,5.0,8.85,6
4933,5079,Hyundai Elite i20 Asta Option,Coimbatore,2019,21134,1,0,0,18.6,1.197,81.86,5.0,8.78,5
5264,5413,Maruti Ciaz 1.4 Delta,Coimbatore,2018,7784,1,0,0,20.73,1.373,91.1,5.0,8.76,6
2451,2534,Maruti Vitara Brezza ZDi,Kolkata,2018,2900,0,0,0,24.3,1.248,88.5,5.0,8.75,6
1094,1129,Maruti Ertiga SHVS VDI,Ahmedabad,2018,38000,0,0,0,24.52,1.248,88.5,7.0,8.7,6
3786,3910,Maruti Baleno Alpha Diesel,Mumbai,2018,2000,0,0,0,27.39,1.248,74.0,5.0,8.7,6
3721,3841,Hyundai Verna VTVT 1.6 SX,Kolkata,2018,5000,1,0,0,17.0,1.591,121.3,5.0,8.7,6
1426,1474,Maruti Baleno Zeta 1.2,Coimbatore,2019,17705,1,0,0,21.4,1.197,83.1,5.0,8.7,5
851,879,Maruti Swift DDiS ZDI Plus,Hyderabad,2018,5456,0,0,0,28.4,1.248,74.0,5.0,8.65,6
34,36,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,0,0,0,24.3,1.248,88.5,5.0,8.63,6
2618,2707,Maruti Vitara Brezza VDi Option,Kochi,2018,51921,0,0,0,24.3,1.248,88.5,5.0,8.62,6
3019,3116,Hyundai i20 1.4 Sportz,Coimbatore,2019,32251,0,0,0,22.54,1.396,88.73,5.0,8.61,5
3955,4083,Maruti Baleno RS Petrol,Coimbatore,2018,26731,1,0,0,21.1,0.998,100.0,5.0,8.61,6
5190,5339,Hyundai i20 Active SX Dual Tone Petrol,Pune,2019,1000,1,0,0,17.19,1.197,81.86,5.0,8.6,5
4362,4495,Maruti Dzire AMT ZDI Plus,Kochi,2018,64035,0,1,0,28.4,1.248,73.75,5.0,8.55,6
984,1018,Maruti Swift Dzire VDI Optional,Kochi,2019,18592,0,0,0,26.59,1.248,74.0,5.0,8.51,5
5680,5841,Maruti Baleno Delta 1.3,Hyderabad,2018,17810,0,0,0,27.39,1.248,74.0,5.0,8.5,6
783,809,Honda Amaze VX Diesel,Hyderabad,2018,12000,0,0,0,27.4,1.498,98.6,5.0,8.5,6
5247,5396,Maruti Ertiga VDI,Kochi,2018,51236,0,0,0,25.47,1.248,88.5,7.0,8.49,6
1687,1740,Mahindra TUV 300 2015-2019 mHAWK100 T8,Kochi,2018,55594,0,0,0,18.49,1.493,100.0,7.0,8.48,6
2393,2472,Maruti Baleno Zeta Automatic,Coimbatore,2018,38852,1,1,0,21.4,1.197,83.1,5.0,8.47,6
730,756,Honda Jazz VX,Kochi,2018,20024,1,0,0,18.2,1.199,88.7,5.0,8.46,6
4198,4328,Maruti Swift DDiS VDI,Coimbatore,2019,41075,0,0,0,28.4,1.248,74.0,5.0,8.4,5
4885,5030,Maruti Vitara Brezza LDi,Kochi,2018,32539,0,0,0,24.3,1.248,88.5,5.0,8.39,6
4791,4934,Maruti Dzire AMT VDI,Coimbatore,2018,25082,0,1,0,28.4,1.248,73.75,5.0,8.37,6
1680,1733,Hyundai Elite i20 Petrol Asta,Coimbatore,2018,32851,1,0,0,18.6,1.197,81.86,5.0,8.34,6
3679,3798,Maruti Baleno RS 1.0 Petrol,Kochi,2018,18678,1,0,0,21.1,0.998,100.0,5.0,8.32,6
552,572,Hyundai Verna 1.6 SX CRDI (O) AT,Coimbatore,2019,77240,0,1,0,22.32,1.582,126.32,5.0,8.31,5
4817,4961,Maruti Dzire AMT ZXI Plus,Coimbatore,2019,8018,1,1,0,22.0,1.197,81.8,5.0,8.3,5
307,320,Maruti Ertiga Paseo VXI,Mumbai,2018,18000,1,0,0,16.02,1.373,93.7,7.0,8.25,6
2833,2923,Mahindra Thar DI 4X4,Mumbai,2018,2500,0,0,0,18.06,2.523,63.0,7.0,8.25,6
3828,3953,Honda Jazz Exclusive CVT,Mumbai,2018,3000,1,1,0,19.0,1.199,88.7,5.0,8.25,6
212,220,Hyundai i20 Active 1.2 SX,Coimbatore,2018,25166,1,0,0,17.19,1.197,81.86,5.0,8.22,6
5284,5434,Honda WR-V Edge Edition i-VTEC S,Kochi,2019,13913,1,0,0,17.5,1.199,88.7,5.0,8.2,5
5142,5291,Maruti Baleno RS Petrol,Kochi,2018,43639,1,0,0,21.1,0.998,100.0,5.0,8.15,6
557,578,Volkswagen Polo 1.5 TDI Highline,Coimbatore,2018,33558,0,0,0,20.14,1.498,88.0,5.0,8.12,6
2626,2715,Maruti Swift AMT DDiS VDI,Chennai,2018,11000,0,0,0,28.4,1.248,74.0,5.0,8.0,6
5407,5562,Maruti Ciaz VDI SHVS,Kochi,2018,17804,0,0,1,28.09,1.248,88.5,5.0,7.97,6
4388,4521,Hyundai Elite i20 Petrol Asta,Kochi,2018,18553,1,0,0,18.6,1.197,81.86,5.0,7.93,6
2633,2722,Volkswagen Ameo 1.5 TDI Highline,Kochi,2018,31426,0,0,0,21.66,1.498,108.62,5.0,7.9,6
5477,5632,Toyota Etios 1.4 VXD,Pune,2018,3000,0,0,0,23.59,1.364,67.04,5.0,7.9,6
2056,2117,Maruti Baleno Delta Automatic,Kochi,2018,21684,1,1,0,21.4,1.197,83.1,5.0,7.89,6
711,735,Maruti Baleno Zeta 1.3,Coimbatore,2018,25433,0,0,0,27.39,1.248,74.0,5.0,7.83,6
1651,1704,Honda Amaze V CVT Petrol,Pune,2018,1700,1,1,0,19.0,1.199,88.76,5.0,7.8,6
1621,1674,Hyundai i20 1.2 Spotz,Coimbatore,2018,22684,1,0,0,18.6,1.197,81.83,5.0,7.8,6
831,859,Hyundai i20 1.2 Asta Option,Coimbatore,2018,15985,1,0,0,18.6,1.197,81.83,5.0,7.77,6
2700,2789,Maruti Baleno Delta 1.2,Coimbatore,2018,25093,1,0,0,21.4,1.197,83.1,5.0,7.76,6
5666,5827,Hyundai i20 1.4 Sportz,Ahmedabad,2018,30000,0,0,0,22.54,1.396,88.73,5.0,7.75,6
2139,2202,Maruti Baleno Zeta Automatic,Jaipur,2018,4131,1,1,0,21.4,1.197,83.1,5.0,7.75,6
4216,4346,Maruti Swift ZXI Plus,Ahmedabad,2018,2000,1,0,0,22.0,1.197,81.8,5.0,7.75,6
5725,5890,Hyundai i20 Diesel Asta Option,Pune,2018,31000,0,0,0,22.54,1.396,88.73,5.0,7.75,6
1901,1958,Hyundai Verna 1.6 SX CRDI (O) AT,Bangalore,2018,75000,0,1,0,22.32,1.582,126.32,5.0,7.75,6
2739,2828,Fiat Avventura MULTIJET Emotion,Coimbatore,2018,18705,0,0,0,20.5,1.248,91.72,5.0,7.71,6
5579,5737,Hyundai i20 Sportz Option 1.2,Kochi,2019,12800,1,0,0,18.6,1.197,81.83,5.0,7.67,5
5481,5636,Hyundai Elite i20 Diesel Asta Option,Kolkata,2018,6820,0,0,0,22.54,1.396,88.76,5.0,7.65,6
5144,5293,Hyundai i20 1.2 Spotz,Kochi,2018,48407,1,0,0,18.6,1.197,81.83,5.0,7.65,6
4550,4685,Volkswagen Vento 1.6 Comfortline,Kochi,2018,20488,1,0,1,16.09,1.598,103.5,5.0,7.64,6
4500,4635,Hyundai i20 Active 1.4 SX,Kochi,2018,37746,0,0,0,21.19,1.396,88.73,5.0,7.59,6
3504,3617,Hyundai i20 1.2 Spotz,Coimbatore,2018,20632,1,0,0,18.6,1.197,81.83,5.0,7.58,6
1564,1615,Honda Jazz 1.2 SV i VTEC,Kochi,2018,18664,1,0,0,18.7,1.199,88.7,5.0,7.56,6
1317,1363,Hyundai Grand i10 1.2 Kappa Sportz AT,Coimbatore,2018,20667,1,1,0,18.9,1.197,81.86,5.0,7.55,6
3537,3653,Maruti Baleno Zeta Automatic,Kochi,2018,25858,1,1,0,21.4,1.197,83.1,5.0,7.54,6
3281,3385,Volkswagen Polo 1.2 MPI Highline,Coimbatore,2018,22734,1,0,0,16.47,1.198,74.0,5.0,7.53,6
2670,2759,Maruti Swift AMT VDI,Delhi,2018,11500,0,1,0,28.4,1.248,74.0,5.0,7.5,6
4867,5012,Maruti Baleno Alpha 1.3,Kochi,2018,42243,0,0,0,27.39,1.248,74.0,5.0,7.48,6
2788,2877,Tata Tigor 1.05 Revotorq XZ Option,Kochi,2019,29279,0,0,0,24.7,1.047,69.0,5.0,7.46,5
5527,5684,Maruti Baleno Zeta,Coimbatore,2018,33150,1,0,0,21.4,1.197,83.1,5.0,7.39,6
5462,5617,Volkswagen Polo 1.5 TDI Highline,Coimbatore,2018,39861,0,0,0,20.14,1.498,88.8,5.0,7.38,6
2827,2917,Maruti Ignis 1.2 AMT Alpha,Coimbatore,2019,3906,1,1,0,20.89,1.197,81.8,5.0,7.36,5
3152,3254,Ford Freestyle Titanium Plus Petrol,Kolkata,2018,8896,1,0,0,19.0,1.194,94.68,5.0,7.34,6
3961,4089,Honda Mobilio S i VTEC,Kochi,2018,35442,1,0,0,17.3,1.497,117.3,7.0,7.32,6
4567,4702,Hyundai Elite i20 Petrol Sportz,Kochi,2018,14223,1,0,0,18.6,1.197,81.86,5.0,7.32,6
5760,5928,Mahindra NuvoSport N6,Coimbatore,2018,37323,0,0,1,17.45,1.493,100.0,7.0,7.29,6
3171,3273,Maruti Baleno Delta CVT,Coimbatore,2018,34630,1,1,0,21.4,1.197,83.1,5.0,7.29,6
1743,1797,Toyota Etios Liva 1.2 VX Dual Tone,Coimbatore,2019,20877,1,0,0,18.16,1.197,78.9,5.0,7.27,5
1841,1896,Volkswagen Ameo 1.2 MPI Highline,Coimbatore,2018,35569,1,0,0,17.0,1.198,73.75,5.0,7.27,6
5100,5249,Ford Freestyle Titanium Plus Petrol,Jaipur,2018,1001,1,0,0,19.0,1.194,94.68,5.0,7.23,6
264,275,Maruti Swift VDI,Hyderabad,2018,31025,0,0,0,28.4,1.248,74.0,5.0,7.15,6
2669,2758,Maruti Swift VDI Optional,Coimbatore,2018,61386,0,0,0,25.2,1.248,74.0,5.0,7.05,6
2563,2651,Maruti Baleno Zeta 1.2,Delhi,2018,22900,1,0,0,21.4,1.197,83.1,5.0,7.0,6
2511,2595,Tata Tiago AMT 1.2 Revotron XZA,Coimbatore,2019,15379,1,1,0,23.84,1.199,83.83,5.0,6.97,5
5608,5769,Tata Tiago 1.2 Revotron XZ,Coimbatore,2019,20712,1,0,0,23.84,1.199,84.0,5.0,6.94,5
5459,5614,Toyota Etios Cross 1.4 GD,Coimbatore,2018,43127,0,0,0,23.59,1.364,67.04,5.0,6.85,6
1123,1161,Tata Tigor 1.2 Revotron XTA,Ahmedabad,2018,1000,1,1,0,20.3,1.199,84.0,5.0,6.85,6
3057,3156,Hyundai Grand i10 1.2 Kappa Magna AT,Coimbatore,2019,12153,1,1,0,18.9,1.197,81.86,5.0,6.84,5
2558,2646,Ford Figo 2015-2019 1.2P Sports Edition MT,Mumbai,2019,1000,1,0,0,18.12,1.196,86.8,5.0,6.8,5
457,477,Ford Figo 2015-2019 1.2P Titanium MT,Hyderabad,2018,3678,1,0,0,18.16,1.196,86.8,5.0,6.8,6
1955,2013,Hyundai Grand i10 1.2 Kappa Magna AT,Kochi,2018,5354,1,1,0,18.9,1.197,81.86,5.0,6.76,6
4267,4399,Maruti Swift Dzire AMT ZDI,Chennai,2019,65000,0,1,0,26.59,1.248,74.0,5.0,6.75,5
3233,3337,Ford Figo Aspire 1.2 Ti-VCT Titanium,Kochi,2018,24237,1,0,0,18.16,1.196,86.8,5.0,6.7,6
4271,4403,Honda Amaze V Petrol,Jaipur,2018,6000,1,0,0,19.5,1.199,86.76,5.0,6.7,6
1481,1529,Tata Zest Quadrajet 1.3 XT,Coimbatore,2018,38310,0,0,0,20.65,1.248,88.7,5.0,6.69,6
2965,3059,BMW 3 Series 320d Luxury Line,Delhi,2019,87000,0,1,0,22.69,1.995,190.0,5.0,6.67,5
4451,4584,Tata Tigor 1.05 Revotorq XT,Kochi,2018,28973,0,0,0,24.7,1.047,69.0,5.0,6.64,6
5158,5307,Maruti Baleno Zeta 1.2,Delhi,2018,13000,1,0,0,21.4,1.197,83.1,5.0,6.6,6
1213,1252,Maruti Baleno Sigma 1.2,Kochi,2018,23714,1,0,0,21.4,1.197,83.1,5.0,6.57,6
2769,2858,Maruti Swift Dzire VXI,Kochi,2018,10671,1,0,0,20.85,1.197,83.14,5.0,6.51,6
165,173,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,1,0,0,18.9,1.197,81.86,5.0,6.5,5
1141,1179,Hyundai i20 1.2 Asta,Jaipur,2018,5000,1,0,0,18.6,1.197,81.83,5.0,6.5,6
3842,3967,Hyundai i20 1.2 Magna Executive,Mumbai,2018,17000,1,0,0,18.6,1.197,81.83,5.0,6.5,6
3970,4099,Hyundai Grand i10 1.2 Kappa Asta,Delhi,2018,10000,1,0,0,18.9,1.197,81.86,5.0,6.5,6
3861,3986,Ford Figo Aspire 1.2 Ti-VCT Titanium,Kochi,2018,32709,1,0,0,18.16,1.196,86.8,5.0,6.46,6
2551,2637,Hyundai Grand i10 1.2 Kappa Sportz Option,Coimbatore,2019,13916,1,0,0,18.9,1.197,81.86,5.0,6.44,5
506,526,Maruti Swift VXI,Kochi,2019,20667,1,0,0,22.0,1.197,81.8,5.0,6.37,5
5550,5707,Hyundai i20 1.4 Sportz,Kochi,2018,40175,0,0,1,22.54,1.396,88.73,5.0,6.36,6
781,807,Hyundai i20 1.2 Asta Option,Kolkata,2018,11000,1,0,0,18.6,1.197,81.83,5.0,6.35,6
2293,2363,Hyundai Grand i10 Asta,Coimbatore,2018,20492,1,0,0,18.9,1.197,82.0,5.0,6.34,6
5165,5314,Hyundai Grand i10 1.2 CRDi Sportz,Kochi,2018,32663,0,0,0,24.0,1.186,73.97,5.0,6.28,6
1762,1816,Hyundai i20 1.2 Magna Executive,Kochi,2019,27339,1,0,0,18.6,1.197,81.83,5.0,6.27,5
229,238,Hyundai i20 1.2 Magna Executive,Kochi,2018,14960,1,0,0,18.6,1.197,81.83,5.0,6.27,6
5451,5606,Maruti Wagon R ZXI AMT 1.2,Mumbai,2019,600,1,1,0,21.5,1.197,81.8,5.0,6.25,5
3459,3569,Mahindra KUV 100 G80 K8,Jaipur,2018,15900,1,0,0,18.15,1.198,82.0,6.0,6.25,6
574,595,Maruti Swift LDI Optional,Kochi,2018,52010,0,0,0,25.2,1.248,74.0,5.0,6.2,6
1346,1393,Hyundai Grand i10 1.2 Kappa Magna AT,Bangalore,2018,3000,1,1,0,18.9,1.197,81.86,5.0,6.2,6
1322,1368,Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2019,18453,1,0,0,18.9,1.197,81.86,5.0,6.17,5
1469,1517,Honda Jazz 1.2 E i VTEC,Kochi,2018,38593,1,0,0,18.7,1.199,88.7,5.0,6.17,6
2699,2788,Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2018,20689,1,0,0,18.9,1.197,81.86,5.0,6.07,6
1281,1324,Maruti Ignis 1.2 Delta,Coimbatore,2019,16862,1,0,0,20.89,1.197,81.8,5.0,6.06,5
1639,1692,Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2018,10393,1,0,0,18.9,1.197,81.86,5.0,6.03,6
2437,2519,Maruti Swift VDI,Pune,2018,30000,0,0,0,28.4,1.248,74.0,5.0,6.0,6
1240,1281,Hyundai Grand i10 CRDi Sportz Celebration Edition,Kochi,2018,35070,0,0,0,24.0,1.12,70.0,5.0,5.99,6
3443,3552,Hyundai Grand i10 1.2 CRDi Sportz,Chennai,2018,48000,0,0,0,24.0,1.186,73.97,5.0,5.95,6
841,869,Hyundai Xcent 1.2 CRDi S,Jaipur,2018,25302,0,0,0,25.4,1.186,73.97,5.0,5.9,6
5771,5940,Maruti Dzire LDI,Pune,2018,27000,0,0,0,28.4,1.248,73.75,5.0,5.9,6
1075,1110,Tata Tiago 1.2 Revotron XZ,Coimbatore,2018,9565,1,0,0,23.84,1.199,84.0,5.0,5.88,6
4610,4748,Tata Tiago 1.2 Revotron XT Option,Coimbatore,2019,16698,1,0,0,23.84,1.199,84.0,5.0,5.85,5
768,794,Hyundai i20 Magna 1.2,Mumbai,2018,19500,1,0,0,18.6,1.197,81.83,5.0,5.85,6
2825,2915,Hyundai Grand i10 1.2 Kappa Sportz,Jaipur,2018,10000,1,0,0,18.9,1.197,81.86,5.0,5.85,6
3583,3700,Volkswagen Ameo 1.2 MPI Comfortline,Kochi,2018,17370,1,0,0,17.0,1.198,73.75,5.0,5.84,6
3617,3736,Hyundai Grand i10 Sportz,Kochi,2018,43698,1,0,0,18.9,1.197,82.0,5.0,5.8,6
1831,1886,Hyundai Grand i10 1.2 Kappa Sportz,Delhi,2018,9434,1,0,0,18.9,1.197,81.86,5.0,5.75,6
1734,1788,Volkswagen Ameo 1.2 MPI Trendline,Kochi,2018,46007,1,0,0,17.0,1.198,73.75,5.0,5.71,6
1160,1198,Volkswagen Polo 1.0 MPI Trendline,Hyderabad,2019,1000,1,0,0,18.78,0.999,75.0,5.0,5.68,5
3196,3300,Ford Aspire Ambiente Diesel,Kolkata,2018,17000,0,0,0,26.1,1.498,99.0,5.0,5.65,6
4838,4982,Maruti Swift VXI BSIII W/ ABS,Kochi,2018,14589,1,0,0,16.1,1.298,88.2,5.0,5.65,6
5122,5271,Maruti Celerio ZXI Optional AMT,Kochi,2018,12278,1,1,0,23.1,0.998,67.04,5.0,5.63,6
2723,2812,Hyundai Grand i10 1.2 Kappa Sportz,Mumbai,2018,3958,1,0,0,18.9,1.197,81.86,5.0,5.55,6
1788,1842,Hyundai Grand i10 1.2 Kappa Magna,Kochi,2018,46493,1,0,0,18.9,1.197,81.86,5.0,5.53,6
4139,4269,Maruti Celerio ZXI,Kochi,2018,31396,1,0,0,23.1,0.998,67.04,5.0,5.53,6
3565,3682,Maruti Ignis 1.2 Delta,Kochi,2019,12076,1,0,0,20.89,1.197,81.8,5.0,5.5,5
5578,5736,Mahindra KUV 100 G80 K8 Dual Tone,Delhi,2018,42000,1,0,0,18.15,1.198,82.0,6.0,5.5,6
4166,4296,Volkswagen Ameo 1.2 MPI Anniversary Edition,Pune,2018,20000,1,0,0,17.0,1.198,74.0,5.0,5.5,6
1930,1987,Maruti Swift Dzire Tour LDI,Pune,2018,12000,0,0,0,23.4,1.248,74.0,5.0,5.5,6
405,420,Hyundai Grand i10 SportZ Edition,Kochi,2018,40322,1,0,0,18.9,1.197,81.86,5.0,5.5,6
4956,5102,Maruti Wagon R VXI,Kochi,2019,31817,1,0,0,22.5,0.998,67.04,5.0,5.34,5
279,290,Tata Zest Quadrajet 1.3 75PS XE,Pune,2018,45000,0,0,0,22.95,1.248,74.0,5.0,5.25,6
2754,2843,Maruti Wagon R AMT VXI,Kochi,2018,27413,1,1,0,20.51,0.998,67.0,5.0,5.18,6
1802,1856,Hyundai Grand i10 Sportz,Kolkata,2018,1800,1,0,0,18.9,1.197,82.0,5.0,5.1,6
5405,5560,Renault KWID RXT Optional,Kochi,2019,6568,1,0,0,25.17,0.799,53.3,5.0,5.09,5
4824,4968,Tata Tiago AMT 1.2 Revotron XZA,Pune,2018,2000,1,1,0,23.84,1.199,83.83,5.0,5.0,6
3485,3598,Hyundai Xcent 1.2 VTVT E Plus,Pune,2018,31000,1,0,0,20.14,1.197,81.86,5.0,5.0,6
4587,4724,Hyundai Xcent 1.2 VTVT E,Pune,2018,40000,1,0,0,20.14,1.197,81.86,5.0,5.0,6
5052,5200,Renault KWID Climber 1.0 AMT,Coimbatore,2018,38171,1,1,1,22.5,0.999,67.0,5.0,4.99,6
2942,3036,Tata Tigor 1.2 Revotron XT,Mumbai,2018,22345,1,0,0,20.3,1.199,84.0,5.0,4.95,6
4311,4444,Hyundai Grand i10 1.2 Kappa Magna,Kolkata,2018,4500,1,0,0,18.9,1.197,81.86,5.0,4.8,6
2770,2859,Renault KWID Climber 1.0 MT,Hyderabad,2018,4126,1,0,0,21.7,0.999,67.0,5.0,4.8,6
1121,1159,Hyundai Grand i10 1.2 Kappa Magna,Kochi,2018,50234,1,0,0,18.9,1.197,81.86,5.0,4.77,6
5796,5966,Maruti Wagon R VXI BS IV,Hyderabad,2018,1048,1,0,0,18.9,0.998,67.1,5.0,4.7,6
5331,5483,Maruti Alto K10 VXI AGS,Coimbatore,2018,31919,1,1,0,24.07,0.998,67.1,5.0,4.56,6
2762,2851,Renault KWID 1.0 RXT Optional,Kochi,2018,18335,1,0,0,21.7,0.999,67.0,5.0,4.5,6
4035,4165,Maruti Wagon R VXI Plus,Kolkata,2018,10000,1,0,0,20.51,0.998,67.04,5.0,4.5,6
5327,5479,Renault KWID Climber 1.0 AMT,Chennai,2018,14000,1,1,0,22.5,0.999,67.0,5.0,4.5,6
967,1001,Renault KWID RXT Optional,Hyderabad,2018,1900,1,0,0,25.17,0.799,53.3,5.0,4.45,6
4170,4300,Maruti Wagon R VXI AMT,Mumbai,2018,1997,1,1,0,22.5,0.998,67.0,5.0,4.45,6
5668,5829,Renault KWID RXT Optional,Mumbai,2018,1617,1,0,0,25.17,0.799,53.3,5.0,4.29,6
2715,2804,Maruti Alto 800 2016-2019 VXI,Coimbatore,2018,26234,1,0,0,24.7,0.796,47.3,5.0,4.29,6
147,155,Hyundai EON Magna Plus,Kochi,2019,14322,1,0,0,21.1,0.814,55.2,5.0,4.23,5
5533,5690,Maruti Omni 5 Seater BSIV,Coimbatore,2019,4721,1,0,0,14.0,0.796,35.0,5.0,4.11,5
416,433,Hyundai EON Era Plus,Kochi,2018,13102,1,0,0,21.1,0.814,55.2,5.0,4.06,6
4594,4731,Nissan Micra Active XV,Pune,2018,24000,1,0,0,19.69,1.198,67.04,5.0,4.0,6
5628,5789,Renault KWID RXL,Kochi,2019,7858,1,0,0,25.17,0.799,53.3,5.0,3.8,5
2413,2492,Maruti Alto 800 2016-2019 VXI,Kochi,2019,19855,1,0,0,24.7,0.796,47.3,5.0,3.8,5
974,1008,Maruti Omni E MPI STD BS IV,Kochi,2019,11571,1,0,0,16.8,0.796,34.2,8.0,3.8,5
4917,5062,Maruti Celerio LXI MT,Kolkata,2018,30000,1,0,0,23.1,0.998,67.04,5.0,3.75,6
2778,2867,Hyundai EON Era Plus,Kochi,2018,15334,1,0,0,21.1,0.814,55.2,5.0,3.69,6
2577,2665,Maruti Alto K10 VXI,Kochi,2018,46805,1,0,0,24.07,0.998,67.1,5.0,3.63,6
4039,4169,Datsun redi-GO T Option,Kochi,2018,6279,1,0,0,22.7,0.799,53.64,5.0,3.6,6
1315,1361,Maruti Alto 800 2016-2019 VXI,Mumbai,2019,171,1,0,0,24.7,0.796,47.3,5.0,3.6,5
1316,1362,Maruti Alto K10 VXI,Kolkata,2018,2100,1,0,0,24.07,0.998,67.1,5.0,3.6,6
4305,4438,Maruti Alto 800 2016-2019 LXI Optional,Jaipur,2019,3000,1,0,0,24.7,0.796,47.3,5.0,3.5,5
3490,3603,Renault KWID RXT Optional,Pune,2018,5000,1,0,0,25.17,0.799,53.3,5.0,3.5,6
2475,2558,Datsun redi-GO T Option,Kochi,2018,30953,1,0,0,22.7,0.799,53.64,5.0,3.48,6
5772,5941,Renault KWID RXL,Pune,2018,1000,1,0,0,25.17,0.799,53.3,5.0,3.4,6
5198,5347,Maruti Alto 800 2016-2019 LXI,Mumbai,2018,11000,1,0,0,24.7,0.796,47.3,5.0,3.35,6
353,367,Maruti Alto 800 2016-2019 LXI,Kolkata,2018,26200,1,0,0,24.7,0.796,47.3,5.0,2.9,6
3033,3132,Porsche Cayenne Base,Kochi,2019,14298,1,1,0,13.33,2.995,340.0,5.0,2.02,5
